-----------------------------------SYSTEM PARAMETERS---------------------------------
   System geometry:                                         film
   Domain in Angstroms:                                 250.0000 Angstrom
   Domain discretization:                                 0.5000 Angstrom
   Nodes across the domain:                                  500 nodes
   Temperature:                                         443.0000 K
   Pressure:                                              0.0000 atm
----------------------------------POLYMER PROPERTIES---------------------------------
   Monomer mass:                                        301.2391 g/mol
   Mass density:                                          0.9903 g/cm^3
--------------------------------SIMULATION PARAMETERS--------------------------------
   Output thermodynamics every:                             1000           steps
   Output computes every:                                   5000 steps
   Field will be initialized to zero            
   Field error tolerance:                                 0.0000 J/k_BT
   Field mixing fraction:                            0.010000000
   Field andersen fraction:                          0.010000000
   Edwards solver                                       implicit
   *Linear solver not set.. we will use tridag..
   Maximum iterations:                                  10000000 iterations
   Andersen_after_iter:                                     1000 andersen_after_iter
   Spacing for chain contour discret:                    uniform
   Spacing for spatial discret:                          uniform
   Chain contour integration rule:                  Simpson rule
   Spatial integration rule:                        Simpson rule
-------------------------------------mxa CHAINS-----------------------------------   
   chain kind:                                                 1
   Chain contour discretization:                 0.500000000E+01 monomers
   Chain length:                                   339.000000000 monomers
   Chain characteristic ratio C_infinity:                 2.2965
   Bond length:                                           7.9640 Angstrom
-------------------------------------mxb CHAINS-----------------------------------   
   chain kind:                                                 2
   Chain contour discretization:                 0.500000000E+01 monomers
   Chain length:                                   315.000000000 monomers
   Chain characteristic ratio C_infinity:                 1.7883
   Bond length:                                           7.9640 Angstrom
------------------------------------ BULK CHAINS ------------------------------------
   Chain length (auto):                            339.000000000 monomers
---------------------------------BOUNDARY CONDITIONS---------------------------------
   mxa boundary condition for lo edge:                 Dirichlet q=0
   mxa boundary condition for hi edge:                 Dirichlet q=     1.000000000
   mxb boundary condition for lo edge:                 Dirichlet q=     1.000000000
   mxb boundary condition for hi edge:                 Dirichlet q=0
   Critical lo position of adsorbed segs             0.000000000 Angstrom
   Critical hi position of adsorbed segs             0.000000000 Angstrom
------------------------------SETUP THE EQUATION OF STATE----------------------------
   The incompressible model was chosen:         
   Flory chi parameter :                             0.041610000
------------------------------------SETUP THE WALLS----------------------------------
   Wall type:                                             vacuum
   Side of the solid wall:                             lo and hi
   *Hard sphere wall position not found. Auto:            0.0000 Angstrom
   fh_nr:                                                      5
-----------------------------INITIALIZE THE SCF PARAMETERS---------------------------
   mxa radious of gyration:                              90.7167 Angstrom
   mxa nodes along chain contour:                             68 nodes
   mxb radious of gyration:                              77.1668 Angstrom
   mxb nodes along chain contour:                             64 nodes
   molar density in bulk                               3287.4216 mol/m3
---------------------------------BEGIN THE SIMULATION--------------------------------
        Iteration    energy (mN/m)    error (k_B T)         gdens_lo         gdens_hi            nch_m          nch_mxb          nch_glo          nch_ghi         fraction
           428000    0.1558262E+01    0.8337366E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           429000    0.1558262E+01    0.8308983E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           430000    0.1558262E+01    0.8277836E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           431000    0.1558262E+01    0.7820679E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           432000    0.1558262E+01    0.7825469E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           433000    0.1558262E+01    0.7797271E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           434000    0.1558262E+01    0.7712920E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           435000    0.1558262E+01    0.7557551E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           436000    0.1558262E+01    0.7609216E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           437000    0.1558262E+01    0.7536380E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           438000    0.1558262E+01    0.7535620E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           439000    0.1558262E+01    0.7468159E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           440000    0.1558262E+01    0.7360785E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           441000    0.1558262E+01    0.7164192E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           442000    0.1558262E+01    0.7102886E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           443000    0.1558262E+01    0.6900482E-08    0.0000000E+00    0.0000000E+00    0.4973300E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           444000    0.1558262E+01    0.6909274E-08    0.0000000E+00    0.0000000E+00    0.4973300E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           445000    0.1558262E+01    0.6937200E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           446000    0.1558262E+01    0.6552265E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           447000    0.1558262E+01    0.4097593E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           448000    0.1558262E+01    0.2684421E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           449000    0.1558262E+01    0.2231352E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           450000    0.1558262E+01    0.2251608E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           451000    0.1558262E+01    0.2052465E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           452000    0.1558262E+01    0.2094845E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           453000    0.1558262E+01    0.2098819E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           454000    0.1558262E+01    0.2210251E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           455000    0.1558262E+01    0.2067503E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           456000    0.1558262E+01    0.2068547E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           457000    0.1558262E+01    0.2249555E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           458000    0.1558262E+01    0.2283713E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           459000    0.1558262E+01    0.2292295E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           460000    0.1558262E+01    0.2288362E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           461000    0.1558262E+01    0.2285726E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           462000    0.1558262E+01    0.2291537E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           463000    0.1558262E+01    0.2292340E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           464000    0.1558262E+01    0.2292077E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           465000    0.1558262E+01    0.2271601E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           466000    0.1558262E+01    0.2171562E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           467000    0.1558262E+01    0.2078828E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           468000    0.1558262E+01    0.2102721E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           469000    0.1558262E+01    0.2102206E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           470000    0.1558262E+01    0.2111771E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           471000    0.1558262E+01    0.2102572E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           472000    0.1558262E+01    0.2100013E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           473000    0.1558262E+01    0.2086282E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           474000    0.1558262E+01    0.2079601E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           475000    0.1558262E+01    0.2080007E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           476000    0.1558262E+01    0.2080064E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           477000    0.1558262E+01    0.2082912E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           478000    0.1558262E+01    0.2092327E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           479000    0.1558262E+01    0.2151256E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           480000    0.1558262E+01    0.2139020E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           481000    0.1558262E+01    0.2079530E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           482000    0.1558262E+01    0.2046362E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           483000    0.1558262E+01    0.1869028E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           484000    0.1558262E+01    0.1891789E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           485000    0.1558262E+01    0.1743540E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           486000    0.1558262E+01    0.1720300E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           487000    0.1558262E+01    0.1720626E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           488000    0.1558262E+01    0.1689031E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           489000    0.1558262E+01    0.1666047E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           490000    0.1558262E+01    0.1670710E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           491000    0.1558262E+01    0.1671926E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           492000    0.1558262E+01    0.1681856E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           493000    0.1558262E+01    0.1654372E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           494000    0.1558262E+01    0.1640793E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           495000    0.1558262E+01    0.1629460E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           496000    0.1558262E+01    0.1627100E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           497000    0.1558262E+01    0.1630106E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           498000    0.1558262E+01    0.1638006E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           499000    0.1558262E+01    0.1621272E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           500000    0.1558262E+01    0.1588378E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           501000    0.1558262E+01    0.1575083E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           502000    0.1558262E+01    0.1572530E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           503000    0.1558262E+01    0.1567332E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           504000    0.1558262E+01    0.1562389E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           505000    0.1558262E+01    0.1561848E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           506000    0.1558262E+01    0.1561335E-08    0.0000000E+00    0.0000000E+00    0.4973299E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           507000    0.1558262E+01    0.1561737E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           508000    0.1558262E+01    0.1558385E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           509000    0.1558262E+01    0.1558253E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           510000    0.1558262E+01    0.1556532E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           511000    0.1558262E+01    0.1514104E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           512000    0.1558262E+01    0.1485642E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           513000    0.1558262E+01    0.1478122E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           514000    0.1558262E+01    0.1472982E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           515000    0.1558262E+01    0.1467375E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           516000    0.1558262E+01    0.1468792E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           517000    0.1558262E+01    0.1469740E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           518000    0.1558262E+01    0.1470968E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           519000    0.1558262E+01    0.1471555E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           520000    0.1558262E+01    0.1461829E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           521000    0.1558262E+01    0.1423952E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           522000    0.1558262E+01    0.1419202E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           523000    0.1558262E+01    0.1421954E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           524000    0.1558262E+01    0.1418940E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           525000    0.1558262E+01    0.1397027E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           526000    0.1558262E+01    0.1392756E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           527000    0.1558262E+01    0.1387853E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           528000    0.1558262E+01    0.1373540E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           529000    0.1558262E+01    0.1354827E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           530000    0.1558262E+01    0.1321548E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           531000    0.1558262E+01    0.1268535E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           532000    0.1558262E+01    0.1176138E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           533000    0.1558262E+01    0.1180039E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           534000    0.1558262E+01    0.1091089E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           535000    0.1558262E+01    0.1090663E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           536000    0.1558262E+01    0.1088137E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           537000    0.1558262E+01    0.1084608E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           538000    0.1558262E+01    0.1084367E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           539000    0.1558262E+01    0.1080124E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           540000    0.1558262E+01    0.1076736E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           541000    0.1558262E+01    0.1078851E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           542000    0.1558262E+01    0.1089357E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           543000    0.1558262E+01    0.1082300E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           544000    0.1558262E+01    0.1092721E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           545000    0.1558262E+01    0.1090277E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           546000    0.1558262E+01    0.1092189E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           547000    0.1558262E+01    0.1091447E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           548000    0.1558262E+01    0.1089861E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           549000    0.1558262E+01    0.1090249E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           550000    0.1558262E+01    0.1087651E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           551000    0.1558262E+01    0.1079591E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           552000    0.1558262E+01    0.1083560E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           553000    0.1558262E+01    0.1073604E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           554000    0.1558262E+01    0.1065256E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           555000    0.1558262E+01    0.1064414E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           556000    0.1558262E+01    0.1063932E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           557000    0.1558262E+01    0.1066526E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           558000    0.1558262E+01    0.1070369E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           559000    0.1558262E+01    0.1068787E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           560000    0.1558262E+01    0.1075557E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           561000    0.1558262E+01    0.1075095E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           562000    0.1558262E+01    0.1076181E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           563000    0.1558262E+01    0.1075070E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           564000    0.1558262E+01    0.1069666E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           565000    0.1558262E+01    0.1062404E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           566000    0.1558262E+01    0.1057459E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           567000    0.1558262E+01    0.1059125E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           568000    0.1558262E+01    0.1059819E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           569000    0.1558262E+01    0.1061635E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           570000    0.1558262E+01    0.1061704E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           571000    0.1558262E+01    0.1060335E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           572000    0.1558262E+01    0.1055319E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           573000    0.1558262E+01    0.1060835E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           574000    0.1558262E+01    0.1042809E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
           575000    0.1558262E+01    0.1036914E-08    0.0000000E+00    0.0000000E+00    0.4973298E-03    0.1035994E-02    0.0000000E+00    0.0000000E+00    0.1000000E-01
